Mouse ID#,Sex,Tansoral Exposure,Body Weight (g),Spleen Weight (g),BALF Cell Number,BALF Protein (ug/ml),LDH Activity(milliunits/mL),TGF-b (pg/ml),IL-6 (pg/ml),TNF-a (pg/ml),Perivasculitis & Peribronchitis,Alveolitis,Total Lung Score,ANA Score Pre,ANA Score 4 wk,ANA score 8wk,ANA Score 12 wk,ENA5 (U),IgM RF (ng/ml),anti-chromatin (U),anti-SSA (U),anti-SSB (U),anti-RNP (U),anti-Sm (U),anti-dsDNA  (U),Total IgM (ug/ml),Total IgG (ug/ml),Urine Protein (ug/ml),GN Score
62,M,PBS,33.4,0.12,900000,145.55,0.724676754,19.41792,50.87278,15.81965,0,0,0,0,0,1,0,20.77262901,332.486,12.91875,NA,NA,NA,NA,NA,139.2738,2071.71431,13754.375,0
63,M,PBS,42.1,0.07,600000,120.55,0.465638964,29.92608,90.96565,19.67633,0.5,0,0.5,0,1,0,0,14.20716233,344.1656,7.15625,NA,NA,NA,NA,NA,107.7905,236.066653,12441.875,0
64,M,PBS,35.7,0.11,700000,104.35,4.117060164,0,151.6959,33.35149,1,0,1,0,3,0,0,15.61706927,246.3068,10.1125,NA,NA,NA,NA,NA,95.55687,216.8377506,9428.125,0
65,M,PBS,32.7,0.06,4900000,120,1.126474299,0,111.9818,30.69192,0,0,0,0,1,2,2,24.7438669,151.92126,12.7,8.584523676,14.20301562,21.31019387,13.85240775,711.8987831,58.30469,1721.568915,15511.875,0
66,M,5mg,28.2,0.06,55000000,221.2,8.773264416,68.60078,61.64899,29.19181,155,53,208,0,0,4,4,740.5410062,404.6074,250.35,10.4206501,15.31771675,625.3908693,530.8083177,896.6100058,239.4474,2863.113733,13936.25,0
67,M,5mg,37.8,0.08,490000,75.2,1.629368178,69.95702,59.94482,13.41956,0,2,2,0,1,2,0,551.2749828,277.0672,8.19375,8.227420988,8.632202477,535.2095059,555.8708568,189.7817269,73.58181,194.4551682,14713.75,0
68,M,5mg,38.8,0.1,485000,61.85,1.629758326,36.89146,112.0068,25.27911,0.5,0,0.5,0,0,2,1,37.99104066,392.1442,9.575,NA,NA,NA,NA,NA,147.886,331.4223272,13811.25,0
69,M,5mg,29,0.09,395000,208.4,14.50627491,98.80146,66.51212,44.39224,220,33,253,0,2,0,2,226.0165403,1185.788,38.43125,NA,NA,NA,NA,NA,322.7566,1879.368873,15951.875,0
70,M,5mg,30.2,0.1,750000,158.95,9.136234238,37.40912,157.0337,38.30673,3,0,3,0,0,0,0,48.60441075,517.1988,9.38125,NA,NA,NA,NA,NA,162.0909,533.8470457,15310,0
71,M,5mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,M,5mg,26,0.08,800000,84.45,0.162522482,48.59134,45.76019,10.70841,0.5,0,0.5,0,1,3,0,42.28118539,2841.73,8.29375,NA,NA,NA,NA,NA,169.0343,477.751804,14313.125,0
73,M,5mg,35.1,0.06,550000,195.75,0.015536003,57.15968,34.65563,12.93961,0,0,0,0,3,1,0,48.84562371,807.0764,9.6875,NA,NA,NA,NA,NA,205.5115,796.2736913,9581.25,0
74,M,5mg,35.2,0.08,1350000,206.45,2.281852809,88.80092,284.2744,68.18809,7,0,7,0,1,0,4,788.4906961,900.6238,9.7375,7.67911371,8.179859989,625.3908693,581.0741088,221.725903,152.9746,429.7644282,11371.875,0
75,M,5mg,36.2,0.06,550000,76.45,0.01381081,25.52472,87.36941,28.45707,4,0,4,0,1,1,2,36.130255,910.1672,21.93125,NA,NA,NA,NA,NA,267.6579,555.3141751,12476.25,0
76,M,PBS,34.3,0.11,600000,84.55,1.841413346,37.79766,60.93242,14.98423,0,0,0,0,2,2,1,32.78925085,792.501,9.59375,NA,NA,NA,NA,NA,271.185,900.1235541,7127.5,0
77,M,PBS,47.6,0.09,800000,129.65,4.648550321,44.9714,271.8456,49.50278,0,0,0,0,0,0,0,112.6058986,330.392,9.61875,NA,NA,NA,NA,NA,226.736,314.8019908,7012.5,0
78,M,PBS,29.1,0.08,750000,90.15,3.253005663,33.28334,79.63137,23.48921,0,0,0,0,1,2,2,65.13661614,1173.8774,14.85625,9.256551569,10.1642434,9.193245779,9.318323952,166.6747151,86.39394,2684.50166,6402.5,0
79,M,PBS,33.6,0.1,405000,82.45,5.399428283,17.8732,311.9497,147.2989,50,7,57,0,2,3,2,31.75309313,951.7146,9.075,11.57631313,13.04254173,10.96779237,9.193245779,140.8875797,617.4825,599.7470272,4142.5,0
80,M,PBS,35.6,0.08,1480000,125.25,17.52186019,39.15998,163.6943,32.78986,2,0,2,0,0,1,2,25.32542731,664.3186,17.2375,9.931391295,11.182014,8.927454659,8.560037523,107.2049449,79.04017,308.7097304,11178.75,0
81,M,5mg,40.9,0.09,750000,71.95,6.3434076,43.26756,104.4787,27.63784,18,0,18,0,0,2,2,396.6747071,842.807,8.775,9.838600832,9.235325794,379.2057536,452.775172,285.0347692,193.6751,628.8976734,7141.875,0
82,M,5mg,34.5,0.09,1380000,46.65,0,33.21916,65.08878,13.49706,0,0,0,0,1,0,0,NA,298.5176,8.84375,NA,NA,NA,NA,NA,63.61596,501.8426471,4518.125,0
83,M,5mg,29.4,0.17,30000000,400.7,24.723119,179.13924,1583.911,137.0131,300,143,443,0,3,4,4,826.9469331,781.938,13.61875,18.6846249,28.5271944,625.3908693,625.3908693,4235.02994,210.3357,5817.341323,6002.5,1.7
84,M,5mg,34.9,NA,1350000,27.1,0,20.09216,65.50548,12.40125,2,0,2,0,0,0,0,NA,648.851,8.2875,NA,NA,NA,NA,NA,270.0558,198.681839,6596.25,0
85,M,5mg,28.3,0.16,3450000,135.55,2.793828029,34.69756,75.60959,29.14539,68,40,108,0,3,4,4,702.2053756,790.9916,63.18125,9.338094703,20.69736134,625.3908693,465.4002502,2868.963686,280.0048,4343.952857,10775,0
86,M,5mg,40.9,0.09,1700000,106.2,0.004761117,19.5357,98.90826,17.04469,11,3,14,0,1,3,3,138.800827,371.4778,9.16875,NA,NA,NA,NA,NA,286.9471,2249.598242,14421.875,0
87,M,5mg,29,0.06,420000,94.1,0,20.15406,216.1782,29.84908,6,0,6,0,1,1,4,32.70158511,920.2148,42.94375,NA,NA,NA,NA,NA,194.5923,306.1103576,8451.25,0
88,M,5mg,27.2,0.09,6000000,181.5,3.883516601,271.625,349.2436,56.32925,147,41,188,0,2,2,2,57.49483115,545.957,18.5375,NA,NA,NA,NA,NA,86.40923,1267.2637,13425,0
89,M,5mg,42.7,0.09,2100000,235.7,9.027669204,38.0569,34.54337,14.28473,12,2,14,0,1,0,0,NA,416.3904,7.74375,NA,NA,NA,NA,NA,220.3684,150.3694632,15096.25,0
90,M,5mg,38,0.11,1600000,128.95,0.951535313,10.986424,66.02046,13.47527,16,0,16,0,2,2,0,45.14128187,529.5614,8.06875,NA,NA,NA,NA,NA,91.46058,1554.504734,10750.625,0
91,M,5mg,26.5,0.11,3900000,113.95,0,12.356172,132.2222,20.14284,2,2,4,0,1,0,0,NA,429.833,9.09375,NA,NA,NA,NA,NA,278.6058,1873.162429,6843.125,0
92,M,5mg,43.6,0.17,90000000,455.7,0.138231999,114.1671,60.40198,70.27828,225,55,280,0,1,1,4,734.0454859,332.2538,104.30625,14.5877854,12.95907377,625.3908693,512.0622264,703.4237976,249.0044,1783.676185,14955,0
93,M,5mg,33,0.12,650000,70.8,2.160440373,34.37578,105.189,24.36826,0.5,0,0.5,0,1,0,0,45.86492074,436.3484,8.73125,NA,NA,NA,NA,NA,151.9161,858.0096827,10811.25,0
94,M,5mg,27.2,0.05,850000,129.55,0,15.248458,117.9251,20.75061,0,0,0,0,1,0,0,40.67884218,645.1632,8.76875,NA,NA,NA,NA,NA,181.0507,983.5974559,10255,0
95,M,5mg,41,0.17,7500000,185.6,0,36.3744,90.9042,32.52433,50,31,81,0,1,3,2,490.8849281,1347.2284,9.8,7.774716005,14.17070544,372.5609756,263.4459037,741.7423218,185.8757,1055.530046,6859.375,0
96,M,5mg,30.1,0.1,550000,71.15,0,83.08794,105.6919,14.37599,0,0,0,0,1,2,0,42.33287388,2385.144,8.84375,NA,NA,NA,NA,NA,266.4454,962.5704503,13086.875,0
97,M,5mg,33.8,0.11,800000,91.3,0,48.40845,168.1274,30.33608,2,0,2,0,1,0,2,25.26579112,584.0552,9.63125,NA,NA,NA,NA,NA,202.507,1190.057669,9535,0
98,M,5mg,41.4,0.1,1350000,100.7,0,72.11562,58.53116,34.13469,13,8,21,0,1,3,3,53.42866988,416.222,15.68125,NA,NA,NA,NA,NA,83.01354,1729.488634,12419.375,0
99,M,5mg,33.8,0.1,1700000,119,0.035274849,80.398905,70.37819,20.39285,66,6,72,0,4,3,4,341.3507926,695.203,223.1125,9.354965696,15.20193861,569.4183865,371.8964978,5794.861889,157.2352,1297.141548,11046.875,0
100,M,5mg,32.5,0.06,270000,83.15,0,85.04328,196.5146,25.27494,0,0,0,0,1,0,0,41.83321847,252.4036,8.46875,NA,NA,NA,NA,NA,86.68669,186.7614134,7057.5,0
101,F,5mg,25,0.08,465000,232.5,16.6328913,52.875045,87.98481,19.04768,0,0,0,0,1,2,3,38.05995865,740.7048,24.80625,NA,NA,NA,NA,NA,185.7954,986.3243841,2150.625,0
102,F,5mg,26.5,0.09,2150000,117.4,0.042209536,113.219025,22.87399,40.75483,65,16,81,0,1,0,3,365.7911194,812.5544,12.0875,11.30918907,14.10070005,182.7470294,69.29330832,1587.212671,85.42934,2049.943179,11323.125,0
103,F,5mg,20.3,0.07,405000,51.9,0.170776192,45.07905,168.0873,22.173,1,3,4,0,1,4,0,44.09028256,2076.382,28.7125,NA,NA,NA,NA,NA,373.5116,881.7633031,5931.875,0.5
104,F,5mg,25.7,0.12,270000,67.6,0,78.29499,58.38268,9.443641,1,0,1,0,1,0,4,582.942464,2282.352,11.54375,15.70970644,19.77382876,522.912758,606.7776735,1481.239135,242.9671,1650.825274,7851.25,0
105,F,5mg,24.5,0.07,800000,81.8,0,64.942845,65.43598,13.49706,2,1,3,0,0,0,0,40.83390765,1127.8008,8.5875,NA,NA,NA,NA,NA,194.2661,1502.69174,7339.375,0
106,F,5mg,20.9,0.09,850000,62.35,0,36.938805,91.59673,16.35286,3,0,3,0,2,2,1,45.0206754,296.8354,12.09375,NA,NA,NA,NA,NA,126.3787,2207.613597,9543.75,0
107,F,5mg,24,0.12,4250000,164.55,5.898004488,132.53988,108.0238,32.50686,110,60,170,0,1,2,4,690.0930393,6749.9,92,11.96153414,14.19763059,625.3908693,221.9121326,3766.008306,657.9503,1976.866768,3337.5,1.2
108,F,5mg,17,0.07,1200000,158.4,1.482114504,265.5936,60.32033,26.58025,210,17,227,0,2,4,4,884.3056436,2664.406,18.40625,26.21752334,32.3451804,625.3908693,625.3908693,3444.538343,205.8811,3316.675136,10030.625,0.5
109,F,5mg,30.8,0.14,1250000,217.35,0.525086407,259.8939,159.7918,68.25011,188,70,258,0,1,4,4,813.2688649,2733.164,8.79375,7.299516365,42.20247711,625.3908693,625.3908693,2893.157234,718.1602,2968.073778,10033.125,0
110,F,5mg,23.3,0.07,750000,155.45,9.461856659,82.03254,42.64634,10.8161,11,0,11,0,0,1,0,151.8706405,1589.5992,11.96875,9.037228658,21.18739903,48.7257661,29.19793621,1584.677419,182.0601,2550.42325,5728.75,0
111,F,5mg,21.1,0.09,650000,95.9,0,53.58843,98.25969,18.85358,0,0,0,0,2,1,1,48.16106531,1289.6538,15.0375,NA,NA,NA,NA,NA,103.6213,1225.442025,9665.625,0
112,F,5mg,20,0.04,265000,33.85,0,27.23235,174.3277,23.31559,0,0,0,0,1,0,0,43.70640457,1077.2832,10.5,NA,NA,NA,NA,NA,89.53863,1402.447381,9914.375,0
113,F,5mg,29.7,0.1,750000,99.5,0,50.28276,227.3129,35.03426,17,0,17,0,2,2,3,68.46861129,951.7638,10.7875,NA,NA,NA,NA,NA,134.3701,2644.225067,4250,0
114,F,5mg,26.6,0.06,390000,74.75,0,88.54038,73.15937,13.06102,0,0,0,0,1,0,1,34.24223209,1371.2662,9.68125,NA,NA,NA,NA,NA,369.8634,1144.230691,4363.75,0
115,F,5mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,F,5mg,41.9,0.09,1400000,358.05,0.642741578,79.76724,42.86047,19.26761,47,28,75,0,1,0,3,651.9974635,2147.306,8.88125,6.55103211,11.18224499,447.224828,22.74859287,888.7147335,484.0474,1606.664561,8319.375,0
117,F,5mg,18.4,0.06,700000,233.05,1.868806211,79.76724,180.4004,46.85459,100,30,130,0,1,0,2,58.57641091,1440.4336,17.34375,NA,NA,NA,NA,NA,265.0736,1517.819751,9518.125,0
118,F,5mg,26.9,0.08,6000000,313.05,3.613667601,200.7453,73.07333,29.57966,192,102,294,0,1,1,2,383.4020292,5546.278,33.26875,32.07067087,15.38625694,187.703252,151.6025641,3496.842154,377.8827,3090.116429,6416.875,0
119,F,5mg,22.9,0.09,500000,98.7,0,42.669315,117.8741,22.13851,0,0,0,0,1,2,0,110.1775523,1114.843,37.95625,NA,NA,NA,NA,NA,76.63936,3391.547352,9908.75,0
120,F,5mg,24.5,0.24,4000000,337.25,17.32090886,124.211205,266.9716,73.41618,210,200,410,0,1,3,4,739.3468611,3232.824,51.55,16.8434633,51.51515152,625.3908693,625.3908693,2668.218698,434.4543,3606.397285,9160.625,2
121,F,5mg,23.4,0.08,360000,108.5,0,45.88449,90.9042,12.43187,2,0,2,0,1,2,0,60.55802156,114.55742,9.775,NA,NA,NA,NA,NA,81.37102,2038.466324,4343.125,0
122,F,5mg,20.1,0.04,365000,113.9,0.016849581,36.592035,179.0272,27.13844,0,0,0,0,1,2,4,57.67279645,184.76858,12.0125,NA,NA,NA,NA,NA,130.4997,2959.204445,6717.5,0
123,F,5mg,28.4,0.12,490000,116.6,0,57.012465,200.4157,7.074709,18,0,18,0,2,1,3,80.05707039,414.0906,17.65625,NA,NA,NA,NA,NA,298.5129,3204.646787,2814.375,0
124,F,5mg,22,0.1,1650000,149,0,62.87523,122.9049,4.272211,82,6,88,0,2,2,2,695.862397,635.4266,9.8625,5.934633028,9.695547019,418.8477173,16.1507192,478.5865757,1916.613,1638.803097,6551.875,0
125,F,5mg,20.5,0.22,850000,185.3,2.872908813,98.938995,150.672,7.438816,14,3,17,0,2,4,4,853.4717819,387.1402,303.8625,28.00315367,17.4384692,625.3908693,413.3364603,4480.015674,288.3349,4562.924053,13145,0.75
126,F,PBS,29.8,0.1,220000,75.25,0.665384259,41.66829,370.3228,13.53129,7,1,8,0,2,2,4,60.87342007,586.1388,63.275,11.7309639,16.42434033,14.42307692,9.427767355,583.0355418,153.3362,2636.515329,5215.625,0
127,F,PBS,23.7,0.07,240000,87.1,0.100516645,36.592035,113.0143,3.70704,3,1.5,4.5,0,1,0,1,36.28395526,362.7168,10.41875,NA,NA,NA,NA,NA,132.1223,1189.400565,14160,0
128,F,PBS,23.9,0.1,1600000,90.25,0,51.348945,267.8393,7.378137,22,0,22,0,1,1,2,78.08944794,316.6448,8.7875,11.92498032,13.41949381,23.46779237,38.53189493,486.985706,677.6013,1182.082582,7053.75,0
129,F,PBS,20.9,0.06,150000,134.7,0.183084842,26.168055,465.2493,19.38406,0,0,0,0,1,1,3,34.04139054,93.11906,12.20625,16.03587898,26.66935918,29.49499687,36.23358349,539.8638207,106.699,3175.691392,2154.375,0
130,F,PBS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,F,PBS,19,0.05,215000,162.15,1.809142105,32.45067,140.8634,3.680927,0,0,0,0,2,1,0,16.17398252,458.7956,8.48125,NA,NA,NA,NA,NA,109.8507,2081.894717,13170,0
132,F,PBS,28.7,0.06,800000,82.2,0,24.43338,205.4286,7.198111,0,0,0,0,2,0,3,74.45459906,205.1254,65.28125,11.84062535,15.22347873,98.10819262,27.9862414,3056.644775,81.28742,2647.992183,4801.875,0
133,F,PBS,31.9,0.1,320000,88.5,0,35.602665,163.769,4.399285,1,1,2,0,1,2,0,33.09904967,186.81976,8.18125,NA,NA,NA,NA,NA,397.6915,1613.420507,6665.625,0
134,F,PBS,32,0.14,155000,80.15,0.427863063,48.76263,532.6643,20.23963,0,0,0,0,3,2,3,38.09812165,97.3103,16.18125,9.849848161,16.2008616,25.43777361,13.24265166,217.0900135,97.61929,1834.343165,5827.5,0
135,F,PBS,18.4,0.05,115000,891.85,16.61898698,492.56985,29.71895,1.556701,0,0,0,0,0,3,2,44.28706734,148.46198,9.00625,10.04105275,29.52611739,15.9865541,13.03158224,609.1124203,66.53876,642.641379,8775,0
136,F,5mg,30,0.07,110000,79.35,0,527.1774,206.8794,7.316076,1,0,1,0,1,2,2,40.3455929,292.4396,11.575,NA,NA,NA,NA,NA,113.4644,899.8890235,4641.875,0
137,F,5mg,27.5,0.16,415000,120.75,0,33.334965,165.2953,4.718328,12,2,14,0,2,3,3,69.32466709,520.2514,17.4625,NA,NA,NA,NA,NA,135.5705,5078.060984,14362.5,0
138,F,5mg,24,0.06,1100000,345.1,11.87971429,255.20355,1122.628,249.7906,155,60,215,0,2,2,4,707.5142676,263.842,9.5,11.17402523,20.60392659,625.3908693,625.3908693,816.5222202,76.26857,2636.709639,3225,0
139,F,5mg,25.9,0.06,1375000,281.9,7.198770897,105.438825,299.1421,100.283,80,9,89,0,1,1,2,623.3512999,160.43532,8.09375,7.575974771,10.42466923,399.898374,341.1194497,167.3427992,243.5338,1116.852762,5419.375,0
140,F,5mg,21.1,0.09,550000,59.65,0,28.05684,56.61055,2.609628,2,0,2,0,3,3,0,69.1027267,279.2376,11.30625,NA,NA,NA,NA,NA,147.2649,5676.383695,12778.125,0
141,M,5mg,30.9,0.07,550000,182.1,11.27531242,44.52594,170.1122,8.365495,48,5,53,0,1,0,0,NA,198.70278,8.3625,NA,NA,NA,NA,NA,345.689,500.3857364,8865.625,0
142,M,5mg,26.7,0.08,17000000,274.9,1.545593078,217.78725,506.4423,96.64586,187,63,250,0,3,3,4,679.3436906,150.08568,40.1,9.575688073,14.73538199,625.3908693,617.5891182,2162.871105,286.3541,2291.633031,15265,0
143,M,5mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,755.247305,NA,#VALUE!,48.35507454,19.27016645,625.3908693,625.3908693,3063.272174,NA,NA,NA,2.5
144,M,5mg,29.1,0.09,1500000,317.15,1.962834579,181.638,215.2395,31.18031,43,30,73,0,2,3,3,622.1623335,326.0356,142.63125,5.565510321,8.095034856,398.9681051,246.8261413,2901.115619,202.1861,812.3911188,15545.625,0
145,M,5mg,38.6,0.14,415000,134.95,0.005293454,106.462605,348.615,23.61802,58,15,73,0,2,3,4,780.8972733,161.91152,13.775,16.0837156,12.0749751,625.3908693,625.3908693,3104.554675,227.3206,3353.021643,14434.375,2
146,M,5mg,34.2,0.14,235000,140.65,0,45.733395,111.2403,4.009332,67,6,73,0,2,0,0,NA,83.14846,8.4375,NA,NA,NA,NA,NA,166.457,288.5693447,4718.125,0
147,M,5mg,42.4,0.13,1400000,293.2,0.127149384,138.615495,175.6735,25.74577,27,16,43,0,1,0,0,NA,258.72,7.71875,NA,NA,NA,NA,NA,313.4472,375.8669842,14178.75,0
148,M,5mg,32.5,0.07,1800000,417.3,1.463396113,49.87701,436.3532,12.22009,96,78,174,0,1,1,3,474.8256183,50.45736,9.8375,9.851634174,11.08265756,625.3908693,606.3164478,453.4851558,75.62894,1835.546637,15255.625,0
149,M,5mg,40.7,0.09,700000,159.8,0,10.310118,188.7953,6.956069,9,0,9,0,1,1,0,32.60938491,215.5576,8.0875,NA,NA,NA,NA,NA,241.4441,NA,13583.125,0
150,M,5mg,34,0.15,12000000,588.85,31.99048376,163.38465,723.3032,40.68594,180,105,285,0,2,2,2,71.65504122,103.87098,12.11875,NA,NA,NA,NA,NA,297.2049,3270.719663,13975,1
151,M,5mg,37.3,0.1,260000,242.1,7.59472094,99.934005,2444.323,1068.419,2,0,2,0,1,0,1,NA,398.666,9.24375,NA,NA,NA,NA,NA,NA,NA,15693.125,0
152,M,5mg,32.3,0.06,1650000,130.4,0.114954492,16.529925,678.2725,37.35011,0,0,0,0,0,0,2,18.15196998,76.6732,8.21875,NA,NA,NA,NA,NA,174.7833,739.4414278,13000,0
153,M,5mg,34.5,0.07,170000,122.2,0,4.699215,119.5607,4.614106,0,0,0,0,2,2,0,56.4362714,51.11762,14.99375,NA,NA,NA,NA,NA,32.89866,259.7464146,11040.625,0
154,M,5mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,M,5mg,39.7,0.12,1300000,161.3,0.101168963,30.219225,298.2879,24.79917,85,38,123,0,2,4,4,769.4039315,167.53654,9.96875,17.38102064,11.91848058,625.3908693,387.7579737,629.6099945,71.96232,3014.990357,5706.25,0
156,M,PBS,34.6,0.11,360000,113.1,0,9.4748325,108.0742,4.216131,1,0,1,0,1,0,0,20.8666228,197.50414,8.3625,NA,NA,NA,NA,NA,114.2002,1674.22924,15625.625,0
157,M,PBS,35.9,0.21,240000,134.45,0,4.9174875,187.0755,4.890691,2,0,2,0,1,2,2,76.94802143,442.8016,8.075,11.69441008,11.92514809,19.55128205,16.08036273,1753.3079,349.776,829.1577105,13179.375,0
158,M,PBS,33.4,0.09,600000,73.45,0,3.478587,81.58633,3.830527,0,0,0,0,1,0,0,11.34035154,137.17596,7.76875,NA,NA,NA,NA,NA,137.5111,NA,11824.375,0
159,M,PBS,36.5,0.13,105000,72.7,0.159915736,6.2396265,294.7832,13.96764,1,0,1,0,1,2,1,41.75557804,223.3196,8.51875,NA,NA,NA,NA,NA,142.0554,984.3235085,11900,0
160,M,PBS,30.9,0.14,150000,344.15,16.64917866,15.224625,221.8306,11.21362,1,0,1,0,2,3,2,80.76760493,118.1727,16.44375,12.85288494,17.32094777,18.64446529,20.55972483,1419.95847,169.4599,3933.734183,15606.25,0
161,F,10mg,24,0.1,328000,300.875,2.431821663,44.483565,80.41717,5.698905,95,77,172,0,0,0,0,NA,80.52988,14.1375,NA,NA,NA,NA,NA,373.836,3816.573218,12957.5,0
162,F,10mg,25.4,0.08,93800,426.0625,19.7695149,6.736875,240.5661,10.40461,0,0,0,0,0,1,2,182.593532,87.95724,14.5875,NA,NA,NA,NA,NA,202.5165,3660.207765,13888.125,0
163,F,10mg,36.31,0.07,182000,329.75,0.01702342,31.90884,86.59898,9.822091,65,69,134,0,0,0,0,NA,252.1078,12.5375,NA,NA,NA,NA,NA,179.1434,1586.763215,12744.375,0
164,F,10mg,34.64,0.09,223000,207.3125,0.046009039,14.3493,138.2203,11.35676,3,3,6,0,0,0,2,31.5472416,455.518,14.04375,NA,NA,NA,NA,NA,178.6459,4387.945838,15000,0
165,F,10mg,25.32,0.14,5460000,3216.79664,3.80354622,222.6975,69.14172,11.67514,380,315,695,0,4,3,1,761.3982245,4084.512,149.5125,32.65481651,74.84350548,625.3908693,625.3908693,4416.4669,964.2624,31423.40693,12224.375,0
166,F,10mg,24.71,0.07,123000,290.1875,0.306104075,0,22.50895,0,0,0,0,0,0,0,0,NA,744.7852,11.85,NA,NA,NA,NA,NA,249.106,156.8971451,12683.125,0
167,F,10mg,26.61,0.14,1510000,313,0.004033209,19.28793,244.3475,29.89972,157,131,288,1,2,2,0,50.45973367,861.8086,16.39375,NA,NA,NA,NA,NA,846.5093,15554.02772,15497.5,0
168,F,10mg,25.41,0.1,674000,708.4375,10.88765447,148.210905,123.7805,68.47726,245,160,405,0,1,4,0,50.93532023,672.9842,16.48125,NA,NA,NA,NA,NA,314.0465,13544.76161,15089.375,0
169,F,10mg,25.37,0.08,182000,216.8125,0.032534119,15.205875,242.9249,25.91134,0,0,0,0,0,0,2,32.32403297,365.6568,13.13125,NA,NA,NA,NA,NA,293.3808,2500.86935,15686.25,0
170,F,10mg,33.09,0.07,NA,0,39.96308032,NA,NA,NA,0,0,0,0,0,0,3,24.06467977,773.2618,13.48125,NA,NA,NA,NA,NA,255.7978,289.7849365,6946.25,0
171,F,10mg,19.78,0.1,6700000,921.125,0.005668935,71.236005,171.1979,89.38529,255,190,525,0,1,1,2,117.5015853,736.313,28.1,NA,NA,NA,NA,NA,575.4297,6776.856673,7953.125,0
172,F,10mg,34.81,0.08,64500,192.4375,0.907143666,0,175.0962,16.79978,0,0,0,0,0,0,4,29.40340909,530.3382,12.6125,NA,NA,NA,NA,NA,391.7097,2075.551841,5529.375,0
173,F,10mg,20.72,0.07,111000,465.375,1.607105234,11.4942735,138.4999,15.62988,0,0,0,0,1,0,3,38.08238636,175.35536,11.68125,NA,NA,NA,NA,NA,183.9931,1052.256007,1950.625,0
174,F,10mg,29.82,0.07,12720000,1013.3125,18.87541754,86.08263,113.7109,47.57517,149,163,312,0,1,0,0,NA,273.129,14.98125,NA,NA,NA,NA,NA,338.5067,6854.001601,6859.375,0
175,F,10mg,34.88,0.06,1270000,623.75,1.21613764,62.130975,172.4194,69.49436,92,65,157,0,0,1,0,59.03409091,459.0042,13.575,NA,NA,NA,NA,NA,319.8478,8069.920308,7400,0
176,M,10mg,31.97,0.07,499000,514.25,2.052708356,15.978435,218.794,74.12029,105,58,163,0,1,2,1,650.4119318,150.98214,14.7375,NA,NA,NA,NA,NA,189.226,16210.27174,14530,0
177,M,10mg,27.51,0.14,11200000,1355.625,15.04897221,119.998725,164.1548,47.89804,130,260,390,0,0,2,2,767.6846591,329.9782,19.5875,15.87586009,11.85801679,625.3908693,625.3908693,218.7903375,390.6588,3508.553955,9761.875,0
178,M,10mg,33.94,0.07,880000,503.8125,6.13885742,45.364875,140.4837,77.86658,70,110,180,0,0,0,0,NA,136.51654,14.775,NA,NA,NA,NA,NA,183.3575,1648.65367,8968.125,0
179,M,10mg,26.79,0.1,9280000,1407.625,23.64138794,155.51865,2623.629,31.09051,450,415,865,0,3,3,0,738.28125,429.591,36.25,17.40252294,35.62028738,625.3908693,519.8092558,1583.878849,486.8602,5593.776451,12775.625,0
180,M,10mg,34.13,0.11,4160000,1196,34.33266357,236.5062,1004.688,255.1724,82,142,224,0,0,2,2,46.17897727,132.81628,13.83125,NA,NA,NA,NA,NA,140.7008,2571.735309,9758.125,0
181,M,10mg,35.75,0.09,182000,293.5625,3.587729529,0,12.14361,2.745587,19,16,35,0,0,1,0,434.2755682,271.1282,11.54375,NA,NA,NA,NA,NA,191.919,1399.300151,11703.125,0
182,M,10mg,32.6,0.19,7360000,722.1875,0.768268285,64.26474,190.7054,59.22763,180,122,302,0,1,1,0,718.4375,194.6084,15.76875,9.604357798,23.20386968,625.3908693,611.9684178,562.534575,368.8563,7291.869317,14622.5,0
183,M,10mg,32.7,0.12,745000,337.1875,0.871599354,24.87951,106.89,31.13121,99,83,182,0,1,1,0,660.7244318,367.9498,13.98125,NA,NA,NA,NA,NA,263.0516,6817.788824,9100,0
184,M,10mg,41.99,0.1,346000,294.5,0.828033051,17.58699,270.6538,35.04403,2,0,2,0,0,0,2,36.43465909,192.14612,12.7375,NA,NA,NA,NA,NA,425.9943,8918.120269,15452.5,0
185,M,10mg,27.02,0.06,463000,373,0.23036931,8.8213215,107.1776,23.92081,5,0,5,0,0,0,1,NA,551.4648,13.3875,NA,NA,NA,NA,NA,369.4778,1827.598673,13770.625,0
