Mouse ID#,Sex,Tansoral Exposure,Body Weight (g),Spleen Weight (g),BALF Cell Number,BALF Protein (ug/ml),LDH Activity(milliunits/mL),TGF-b (pg/ml),IL-6 (pg/ml),TNF-a (pg/ml),Perivasculitis & Peribronchitis,Alveolitis,Total Lung Score,ANA Score Pre,ANA Score 4 wk,ANA score 8wk,ANA Score 12 wk,ENA5 (U),IgM RF (ng/ml),anti-chromatin (U),anti-SSA (U),anti-SSB (U),anti-RNP (U),anti-Sm (U),anti-dsDNA  (U),Total IgM (ug/ml),Total IgG (ug/ml),Urine Protein (ug/ml),GN Score
255,F,10mg,26.21,0.09,4840000,869.75,20.95489322,109.835685,170.7523,64.21518,270,192,462,0,0,2,4,727.7840909,223.0924,17.95,16.5209289,15.5178546,625.3908693,625.3908693,3918.172598,474.1177,7885.348778,4975.625,0
256,F,10mg,31.79,0.1,463000,275.125,0.342691349,23.98851,84.22842,27.64792,0,0,0,0,1,0,0,NA,109.45006,12.9375,NA,NA,NA,NA,NA,346.0188,1244.631315,5706.875,0
257,F,10mg,33.48,0.1,727000,417.5625,0.561977724,31.11342,82.12051,75.98052,19,0,19,0,2,1,0,484.6448864,42.42768,14.39375,6.891485092,11.10755442,419.3011257,391.6432145,1227.756777,263.665,4040.828448,13270,0
258,F,10mg,37.36,0.1,3700000,562.125,4.277645535,71.44953,184.0879,87.05117,235,183,418,0,1,0,0,75.625,145.41002,16.6875,NA,NA,NA,NA,NA,249.1752,398.6352742,14395.625,0
259,F,10mg,38.69,0.06,405000,151.8125,0.200235238,36.89949,233.8104,28.71333,0,0,0,0,0,0,0,NA,67.3316,11.0875,NA,NA,NA,NA,NA,205.6515,86.54372664,6224.375,0
260,F,10mg,26.31,0.09,516000,327.3125,0.341590916,51.314925,459.106,68.32302,8,5,13,0,0,0,0,NA,194.65336,10.90625,NA,NA,NA,NA,NA,649.8724,108.953132,13996.25,0
261,M,10mg,30.3,0.1,65600000,4930.53244,6.892173086,418.9647,260.1233,229.3948,230,400,630,0,1,4,4,787.5341717,199.40196,16.8875,9.67603211,17.9435197,625.3908693,625.3908693,2560.828877,1567.043,4408.966565,10266.25,0
262,M,10mg,35.64,0.12,5520000,757.875,10.80393327,139.3101,154.222,103.6412,201,140,341,0,1,3,4,769.9425916,12.793474,15.1125,10.19208716,11.01508038,625.3908693,625.3908693,246.1737046,259.6985,5852.217178,6548.75,0
263,M,10mg,32.58,0.11,6000000,1024.375,16.37495246,177.9972,174.4219,45.60386,120,153,273,0,1,1,3,78.37616184,385.8538,44.70625,NA,NA,NA,NA,NA,911.2792,5586.08283,7806.875,0
264,M,10mg,37.29,0.09,5560000,856.8125,27.49239303,93.519345,341.4307,43.94941,121,105,226,0,0,0,0,NA,92.5373,12.91875,NA,NA,NA,NA,NA,396.7966,6174.294064,14904.375,0
